"Occupancy","Capacity","QueueLength","TrafficConditionNearby","IsSpecialDay","VehicleType","Model2Price","time","diff"
"63","470","2","low","0","bike","11.07","1752074098718","1"
"85","690","3","low","1","cycle","12.02","1752074098718","1"
"219","577","7","high","0","cycle","13.32","1752074098718","1"
"1265","1920","4","low","0","car","12.63","1752074098718","1"
"1017","2937","2","low","0","car","11.54","1752074098718","1"
"1172","2937","3","low","0","cycle","12.0","1752074098718","1"
"313","485","5","high","0","car","12.7","1752074098718","1"
"440","470","8","high","0","truck","14.49","1752074098718","1"
"979","2009","3","low","0","bike","11.78","1752074098718","1"
"920","2937","2","low","0","car","11.51","1752074098718","1"
"592","1920","2","low","0","truck","11.8","1752074098718","1"
"437","1200","3","low","0","car","11.97","1752074098718","1"
"557","690","3","low","0","car","12.34","1752074098718","1"
"438","1322","2","low","0","bike","11.23","1752074098718","1"
"525","690","2","low","0","car","11.88","1752074098718","1"
"329","1200","8","high","0","car","13.65","1752074098718","1"
"1285","2937","4","average","0","bike","11.99","1752074098718","1"
"2280","3883","10","high","0","cycle","14.74","1752074098718","1"
"657","687","8","high","0","car","14.21","1752074098718","1"
"1025","1322","7","average","1","bike","13.77","1752074098718","1"
"180","577","3","low","1","car","12.18","1752074098718","1"
"188","577","7","high","0","cycle","13.27","1752074098718","1"
"930","1920","8","high","0","bike","13.53","1752074098718","1"
"140","577","2","low","0","car","11.45","1752074098718","1"
"378","1322","2","low","0","car","11.49","1752074098718","1"
"1054","2803","3","low","0","car","11.98","1752074098718","1"
"1106","2009","2","low","0","car","11.71","1752074098718","1"
"472","1920","6","average","1","bike","12.91","1752074098718","1"
"577","3103","6","low","1","cycle","13.32","1752074098718","1"
"85","690","1","low","0","car","10.94","1752074098718","1"
"1295","2937","3","low","0","car","12.03","1752074098718","1"
"128","577","2","low","0","bike","11.14","1752074098718","1"
"1120","1920","7","average","1","bike","13.61","1752074098718","1"
"340","577","2","low","0","car","11.74","1752074098718","1"
"2717","3883","5","low","0","bike","12.79","1752074098718","1"
"677","2009","2","low","0","car","11.53","1752074098718","1"
"116","470","4","low","1","car","12.54","1752074098718","1"
"2694","3883","6","average","0","bike","13.04","1752074098718","1"
"191","577","4","average","0","car","12.19","1752074098718","1"
"1108","1920","3","average","0","cycle","11.98","1752074098718","1"
"726","1200","4","average","0","car","12.42","1752074098718","1"
"418","470","5","average","0","cycle","13.07","1752074098718","1"
"285","485","2","low","0","car","11.74","1752074098718","1"
"591","687","8","high","0","car","14.13","1752074098718","1"
"685","1322","7","average","0","cycle","13.6","1752074098718","1"
"175","577","5","average","0","truck","12.88","1752074098718","1"
"988","2937","3","low","0","car","11.95","1752074098718","1"
"826","3103","2","low","0","car","11.47","1752074098718","1"
"162","387","2","low","0","truck","11.89","1752074098718","1"
"129","387","2","average","0","car","11.36","1752074098718","1"
"603","687","3","low","0","truck","12.69","1752074098718","1"
"363","485","7","high","0","cycle","13.62","1752074098718","1"
"630","2803","8","average","1","car","14.02","1752074098718","1"
"114","577","2","average","0","truck","11.54","1752074098718","1"
"1271","2937","6","average","0","bike","12.82","1752074098718","1"
"975","1920","7","average","1","car","13.84","1752074098718","1"
"366","387","2","low","0","car","12.04","1752074098718","1"
"689","1920","2","low","0","car","11.55","1752074098718","1"
"156","577","3","average","0","car","11.73","1752074098718","1"
"1380","2009","5","average","0","truck","13.2","1752074098718","1"
"861","3103","2","low","0","bike","11.19","1752074098718","1"
"929","3103","3","low","0","car","11.92","1752074098718","1"
"456","687","2","low","0","truck","12.09","1752074098718","1"
"806","3883","8","average","1","truck","14.3","1752074098718","1"
"842","1200","6","average","0","bike","13.04","1752074098718","1"
"150","470","6","average","1","bike","12.97","1752074098718","1"
"185","690","7","high","0","bike","12.93","1752074098718","1"
"508","687","3","low","0","car","12.28","1752074098718","1"
"371","470","5","average","0","car","12.99","1752074098718","1"
"1150","2009","6","average","0","bike","12.94","1752074098718","1"
"345","485","4","average","0","car","12.51","1752074098718","1"
"1261","2009","9","high","0","cycle","14.36","1752074098718","1"
"632","690","5","average","0","car","13.1","1752074098718","1"
"311","485","2","low","0","car","11.78","1752074098718","1"
"210","577","5","average","0","truck","12.93","1752074098718","1"
"594","1920","1","low","0","car","11.09","1752074098718","1"
"606","690","3","low","0","car","12.4","1752074098718","1"
"727","1200","5","average","0","cycle","12.84","1752074098718","1"
"350","470","4","average","0","car","12.54","1752074098718","1"
"1529","1920","6","average","0","car","13.41","1752074098718","1"
"433","470","5","average","0","car","13.1","1752074098718","1"
"976","2803","2","low","0","truck","11.83","1752074098718","1"
"189","470","2","low","0","car","11.59","1752074098718","1"
"1149","1920","5","average","0","cycle","12.83","1752074098718","1"
"373","470","8","high","0","car","14.08","1752074098718","1"
"216","1200","2","low","0","bike","11.11","1752074098718","1"
"172","470","2","low","0","car","11.55","1752074098718","1"
"416","1200","2","low","0","car","11.54","1752074098718","1"
"257","485","2","low","0","car","11.69","1752074098718","1"
"925","2937","2","low","0","car","11.51","1752074098718","1"
"627","687","5","average","0","car","13.09","1752074098718","1"
"1373","2937","5","average","0","bike","12.43","1752074098718","1"
"292","690","2","low","0","car","11.6","1752074098718","1"
"396","470","2","low","0","bike","11.66","1752074098718","1"
"397","387","7","high","0","bike","13.56","1752074098718","1"
"385","470","2","low","0","car","11.93","1752074098718","1"
"890","1322","8","high","0","car","13.98","1752074098718","1"
"320","387","4","average","0","bike","12.31","1752074098718","1"
"1230","2937","5","average","0","bike","12.39","1752074098718","1"
"1206","2009","9","high","0","car","14.33","1752074098718","1"
"1236","1920","9","high","0","car","14.37","1752074098718","1"
"687","3103","7","average","1","bike","13.31","1752074098718","1"
"192","690","5","average","0","car","12.57","1752074098718","1"
"276","387","5","average","0","bike","12.64","1752074098718","1"
"645","1200","4","low","0","cycle","12.53","1752074098718","1"
"399","387","4","average","0","car","12.78","1752074098718","1"
"1360","2009","3","low","0","bike","11.94","1752074098718","1"
"435","470","7","high","0","car","13.77","1752074098718","1"
"76","577","2","low","0","truck","11.65","1752074098718","1"
"234","485","4","average","0","car","12.32","1752074098718","1"
"230","485","6","high","0","bike","12.69","1752074098718","1"
"554","1322","2","low","0","bike","11.31","1752074098718","1"
"1181","2937","9","high","0","car","14.17","1752074098718","1"
"836","1920","4","average","0","car","12.28","1752074098718","1"
"378","687","5","average","0","bike","12.5","1752074098718","1"
"973","3883","6","average","1","car","13.21","1752074098718","1"
"383","1322","3","low","1","car","12.16","1752074098718","1"
"759","1322","8","high","0","truck","14.19","1752074098718","1"
"461","2803","2","low","0","truck","11.68","1752074098718","1"
"1673","3883","2","low","0","cycle","11.61","1752074098718","1"
"323","690","2","low","0","car","11.64","1752074098718","1"
"1158","3103","5","average","0","cycle","12.64","1752074098718","1"
"1360","2009","9","high","0","cycle","14.4","1752074098718","1"
"341","387","7","high","0","car","13.73","1752074098718","1"
"1031","1920","6","average","0","car","13.2","1752074098718","1"
"480","2803","2","low","0","car","11.39","1752074098718","1"
"555","2937","2","low","0","car","11.41","1752074098718","1"
"627","3103","2","low","0","car","11.42","1752074098718","1"
"3379","3883","10","high","0","car","14.98","1752074098718","1"
"1245","2937","3","low","0","car","12.02","1752074098718","1"
"1244","1920","4","low","0","car","12.62","1752074098718","1"
"3316","3883","9","high","0","car","14.54","1752074098718","1"
"370","470","4","average","0","cycle","12.57","1752074098718","1"
"1472","2009","4","average","0","bike","12.24","1752074098718","1"
"397","387","8","high","0","car","14.27","1752074098718","1"
"1226","3103","9","high","0","car","14.16","1752074098718","1"
"52","577","1","low","0","car","10.91","1752074098718","1"
"360","687","3","low","0","cycle","12.1","1752074098718","1"
"54","577","1","low","0","bike","10.62","1752074098718","1"
"1028","2937","3","average","0","cycle","11.79","1752074098718","1"
"61","577","2","low","0","car","11.34","1752074098718","1"
"878","3103","2","low","0","cycle","11.49","1752074098718","1"
"963","3103","9","high","0","car","14.09","1752074098718","1"
"453","2803","3","low","0","car","11.8","1752074098718","1"
"1323","3103","10","high","0","car","14.61","1752074098718","1"
"429","687","8","high","0","car","13.94","1752074098718","1"
"1386","2937","8","high","0","car","13.81","1752074098718","1"
"1416","2009","7","average","0","truck","14.05","1752074098718","1"
"145","470","6","high","0","truck","13.13","1752074098718","1"
"134","470","3","low","1","car","12.15","1752074098718","1"
"35","577","2","low","1","cycle","11.55","1752074098718","1"
"300","1920","3","low","1","car","12.05","1752074098718","1"
"582","690","6","average","0","car","13.45","1752074098718","1"
"205","470","2","low","0","truck","11.91","1752074098718","1"
"1495","1920","10","high","0","bike","14.61","1752074098718","1"
"1177","2937","4","average","0","car","12.25","1752074098718","1"
"57","577","2","low","1","car","11.58","1752074098718","1"
"1379","2009","9","high","0","bike","14.11","1752074098718","1"
"1356","2937","4","high","0","car","12.13","1752074098718","1"
"349","470","2","low","0","car","11.87","1752074098718","1"
"2248","3883","2","low","0","bike","11.44","1752074098718","1"
"331","485","3","average","0","car","12.07","1752074098718","1"
"51","577","1","low","0","bike","10.62","1752074098718","1"
"524","3883","2","low","0","car","11.36","1752074098718","1"
"614","2803","6","average","1","car","13.18","1752074098718","1"
"449","2803","3","low","0","car","11.8","1752074098718","1"
"257","485","2","low","0","bike","11.4","1752074098718","1"
"684","1322","3","average","0","car","11.93","1752074098718","1"
"1131","3103","2","low","0","bike","11.26","1752074098718","1"
"583","690","6","high","0","bike","13.0","1752074098718","1"
"344","387","8","high","0","truck","14.45","1752074098718","1"
"250","387","3","low","0","truck","12.5","1752074098718","1"
"243","470","4","average","1","bike","12.31","1752074098718","1"
"1491","2009","6","average","0","truck","13.66","1752074098718","1"
"307","485","3","low","0","cycle","12.19","1752074098718","1"
"315","387","2","low","0","cycle","11.93","1752074098718","1"
"551","1322","3","low","0","bike","11.72","1752074098718","1"
"592","687","3","average","0","car","12.22","1752074098718","1"
"505","687","5","average","0","car","12.95","1752074098718","1"
"2123","3883","5","average","0","car","12.79","1752074098718","1"
"1237","2009","3","low","0","car","12.18","1752074098718","1"
"674","2803","6","average","0","car","12.95","1752074098718","1"
"406","687","3","low","0","bike","11.87","1752074098718","1"
"1068","2937","3","low","0","car","11.97","1752074098718","1"
"434","690","2","low","0","car","11.77","1752074098718","1"
"226","577","5","average","0","car","12.66","1752074098718","1"
"427","470","7","high","0","bike","13.47","1752074098718","1"
"402","387","7","high","0","car","13.87","1752074098718","1"
"757","2009","3","low","0","car","11.98","1752074098718","1"
"3244","3883","7","high","0","car","13.7","1752074098718","1"
"578","1322","3","low","0","cycle","12.03","1752074098718","1"
"776","1200","9","high","0","bike","14.08","1752074098718","1"
"1255","2009","6","average","0","car","13.27","1752074098718","1"
"896","3103","2","low","0","car","11.49","1752074098718","1"
"122","577","2","low","0","car","11.43","1752074098718","1"
"483","690","2","low","0","car","11.83","1752074098718","1"
"2553","3883","3","low","0","car","12.21","1752074098718","1"
"431","470","5","average","0","bike","12.81","1752074098718","1"
"1122","2937","8","high","0","car","13.74","1752074098718","1"
"3119","3883","5","high","0","car","12.84","1752074098718","1"
"1032","2937","2","low","0","car","11.54","1752074098718","1"
"3388","3883","5","average","0","bike","12.77","1752074098718","1"
"330","687","4","low","1","car","12.73","1752074098718","1"
"329","485","5","average","0","car","12.9","1752074098718","1"
"1242","1920","9","high","0","car","14.37","1752074098718","1"
"1091","1920","3","low","0","car","12.14","1752074098718","1"
"976","1920","3","low","0","car","12.09","1752074098718","1"
"209","577","6","high","0","car","12.89","1752074098718","1"
"219","485","5","average","1","bike","12.67","1752074098718","1"
"1341","2937","9","high","0","cycle","14.21","1752074098718","1"
"622","690","4","average","0","car","12.67","1752074098718","1"
"157","1200","4","average","1","car","12.28","1752074098718","1"
"391","387","2","low","0","car","12.09","1752074098718","1"
"542","1200","2","low","0","cycle","11.63","1752074098718","1"
"2777","3883","10","high","0","car","14.85","1752074098718","1"
"551","2803","6","high","0","car","12.75","1752074098718","1"
"307","485","8","high","0","truck","14.24","1752074098718","1"
"259","1200","2","low","0","car","11.43","1752074098718","1"
"335","485","3","low","0","cycle","12.24","1752074098718","1"
"1442","2009","10","high","0","car","14.85","1752074098718","1"
"1393","2009","2","low","0","bike","11.54","1752074098718","1"
"383","577","8","high","0","car","13.97","1752074098718","1"
"496","3103","2","low","0","car","11.38","1752074098718","1"
"271","485","5","average","0","car","12.8","1752074098718","1"
"2549","3883","4","low","0","bike","12.34","1752074098718","1"
"1246","2937","3","low","0","car","12.02","1752074098718","1"
"157","577","2","low","0","cycle","11.48","1752074098718","1"
"875","1920","6","average","0","bike","12.84","1752074098718","1"
"1125","1920","5","average","0","car","12.82","1752074098718","1"
"519","2937","2","low","0","bike","11.11","1752074098718","1"
"348","485","5","average","0","truck","13.22","1752074098718","1"
"613","2803","3","low","0","car","11.85","1752074098718","1"
"248","687","5","average","1","car","12.88","1752074098718","1"
"431","687","4","average","0","bike","12.15","1752074098718","1"
"491","2803","8","high","0","car","13.56","1752074098718","1"
"268","1200","10","high","1","car","14.69","1752074098718","1"
"189","1200","4","low","1","bike","12.17","1752074098718","1"
"360","687","8","high","0","car","13.85","1752074098718","1"
"624","690","5","average","0","car","13.09","1752074098718","1"
"131","577","8","high","1","car","13.86","1752074098718","1"
"587","687","5","average","0","bike","12.75","1752074098718","1"
"1550","1920","9","high","0","car","14.51","1752074098718","1"
"445","687","3","low","0","bike","11.91","1752074098718","1"
"647","1322","2","low","0","truck","11.95","1752074098718","1"
"249","577","7","high","0","bike","13.07","1752074098718","1"
"393","2803","3","low","0","bike","11.49","1752074098718","1"
"318","470","2","low","0","car","11.81","1752074098718","1"
"521","687","6","average","0","car","13.38","1752074098718","1"
"619","2803","2","low","0","car","11.43","1752074098718","1"
"148","577","6","average","1","car","13.21","1752074098718","1"
"542","690","7","high","0","car","13.65","1752074098718","1"
"593","2803","6","average","0","cycle","12.93","1752074098718","1"
"251","485","5","average","1","car","13.01","1752074098718","1"
"896","2937","8","average","1","car","14.09","1752074098718","1"
"241","1200","5","average","1","bike","12.46","1752074098718","1"
"256","690","1","low","0","car","11.14","1752074098718","1"
"707","3883","6","average","1","cycle","13.15","1752074098718","1"
"461","1322","2","low","0","car","11.54","1752074098718","1"
"1555","2009","4","low","0","car","12.73","1752074098718","1"
"261","387","3","average","0","bike","11.77","1752074098718","1"
"1354","2009","5","average","0","car","12.89","1752074098718","1"
"974","3103","2","low","0","car","11.51","1752074098718","1"
"805","1920","9","high","0","car","14.18","1752074098718","1"
"1222","2937","6","average","0","bike","12.81","1752074098718","1"
"185","485","2","low","0","car","11.57","1752074098718","1"
"89","690","3","low","1","car","12.02","1752074098718","1"
"148","577","9","high","1","bike","14.01","1752074098718","1"
"339","387","5","average","0","car","13.06","1752074098718","1"
"3159","3883","5","average","0","cycle","13.01","1752074098718","1"
"2517","3883","3","low","0","car","12.21","1752074098718","1"
"1262","2937","9","high","0","car","14.19","1752074098718","1"
"508","2803","6","high","0","car","12.73","1752074098718","1"
"865","1920","2","low","0","bike","11.33","1752074098718","1"
"1195","3103","4","low","0","truck","12.7","1752074098718","1"
"471","1920","5","average","1","car","12.79","1752074098718","1"
"743","2937","8","average","1","car","14.04","1752074098718","1"
"1983","3883","2","low","0","car","11.68","1752074098718","1"
"725","1322","7","average","1","car","13.87","1752074098718","1"
"1410","2009","12","high","1","bike","15.63","1752074098718","1"
"1343","2009","4","average","0","car","12.47","1752074098718","1"
"195","1200","1","low","0","car","10.97","1752074098718","1"
"362","485","3","average","0","bike","11.83","1752074098718","1"
"1179","2937","2","low","0","car","11.58","1752074098718","1"
"379","577","3","low","0","car","12.21","1752074098718","1"
"1135","2009","9","average","1","car","14.72","1752074098718","1"
"61","470","2","low","0","truck","11.65","1752074098718","1"
"1451","1920","7","average","0","car","13.8","1752074098718","1"
"395","577","4","average","0","bike","12.2","1752074098718","1"
"1555","1920","9","high","0","truck","14.8","1752074098718","1"
"115","577","2","low","0","bike","11.12","1752074098718","1"
"494","687","3","low","0","car","12.27","1752074098718","1"
"885","3103","2","low","0","cycle","11.49","1752074098718","1"
"531","1322","2","low","0","car","11.58","1752074098718","1"
"1110","2937","6","average","0","car","13.06","1752074098718","1"
"381","470","2","low","0","car","11.93","1752074098718","1"
"1143","3103","9","high","0","car","14.14","1752074098718","1"
"189","2803","2","average","0","car","11.14","1752074098718","1"
"349","687","3","average","0","car","11.92","1752074098718","1"
"702","1322","3","average","0","car","11.94","1752074098718","1"
"527","2803","8","high","0","bike","13.28","1752074098718","1"
"292","2803","2","low","0","car","11.34","1752074098718","1"
"561","690","2","low","0","cycle","11.93","1752074098718","1"
"443","470","5","average","0","bike","12.83","1752074098718","1"
"276","1200","9","high","1","truck","14.57","1752074098718","1"
"854","1200","5","average","0","car","12.93","1752074098718","1"
"167","387","1","low","0","car","11.19","1752074098718","1"
"1148","2937","6","average","0","bike","12.78","1752074098718","1"
"1132","2009","2","low","0","truck","12.01","1752074098718","1"
"149","1200","2","low","0","bike","11.06","1752074098718","1"
"781","1322","3","low","0","truck","12.45","1752074098718","1"
"936","3103","8","high","0","cycle","13.67","1752074098718","1"
"292","387","3","low","1","car","12.55","1752074098718","1"
"659","1322","11","high","1","car","15.33","1752074098718","1"
"628","2803","4","average","0","car","12.1","1752074098718","1"
"2470","3883","3","low","0","car","12.2","1752074098718","1"
"2535","3883","2","low","0","truck","12.09","1752074098718","1"
"181","577","3","average","0","car","11.76","1752074098718","1"
"1061","3883","2","low","0","bike","11.19","1752074098718","1"
"3124","3883","11","high","0","car","15.34","1752074098718","1"
"754","3103","2","low","0","car","11.45","1752074098718","1"
"836","2009","3","low","0","car","12.01","1752074098718","1"
"787","1322","6","average","0","truck","13.54","1752074098718","1"
"1252","1920","9","high","0","bike","14.09","1752074098718","1"
"3043","3883","4","low","0","truck","13.03","1752074098718","1"
"525","690","3","average","0","bike","11.84","1752074098718","1"
"1341","2937","6","average","0","car","13.13","1752074098718","1"
"1112","3103","4","average","0","car","12.22","1752074098718","1"
"41","470","2","low","1","bike","11.28","1752074098718","1"
"634","690","4","average","0","car","12.68","1752074098718","1"
"525","687","5","average","0","car","12.97","1752074098718","1"
"276","1322","2","low","0","cycle","11.42","1752074098718","1"
"401","470","2","low","0","car","11.96","1752074098718","1"
"1101","2937","3","average","0","car","11.81","1752074098718","1"
"492","687","8","high","0","bike","13.72","1752074098718","1"
"2136","3883","8","high","0","car","13.88","1752074098718","1"
"304","1920","2","average","0","car","11.22","1752074098718","1"
"212","470","4","average","0","cycle","12.29","1752074098718","1"
"591","3103","2","average","0","car","11.24","1752074098718","1"
"866","1322","9","high","0","car","14.38","1752074098718","1"
"301","485","6","high","0","car","13.1","1752074098718","1"
"129","577","3","average","0","car","11.69","1752074098718","1"
"236","485","6","high","0","car","12.99","1752074098718","1"
"294","470","2","low","0","car","11.77","1752074098718","1"
"1269","3103","10","average","1","car","15.01","1752074098718","1"
"1614","3883","3","low","1","car","12.26","1752074098718","1"
"682","1200","4","low","1","car","12.81","1752074098718","1"
"614","690","2","low","0","bike","11.7","1752074098718","1"
"1291","2937","6","average","0","bike","12.82","1752074098718","1"
"296","1920","2","low","0","cycle","11.38","1752074098718","1"
"667","1200","4","average","0","car","12.38","1752074098718","1"
"1549","3883","7","average","0","cycle","13.5","1752074098718","1"
"395","387","5","average","0","bike","12.89","1752074098718","1"
"974","1920","9","high","0","car","14.26","1752074098718","1"
"277","485","2","low","0","car","11.73","1752074098718","1"
"609","690","3","low","0","car","12.4","1752074098718","1"
"1142","3103","9","high","0","car","14.14","1752074098718","1"
"97","577","3","low","0","car","11.81","1752074098718","1"
"569","1920","2","low","0","cycle","11.5","1752074098718","1"
"537","690","1","low","0","cycle","11.48","1752074098718","1"
"210","485","5","average","1","car","12.94","1752074098718","1"
"919","2009","3","low","0","car","12.05","1752074098718","1"
"1028","1920","2","low","0","bike","11.4","1752074098718","1"
"115","690","2","low","0","car","11.39","1752074098718","1"
"218","485","3","low","1","bike","12.0","1752074098718","1"
"535","3103","2","low","0","cycle","11.39","1752074098718","1"
"66","690","2","average","1","car","11.41","1752074098718","1"
"51","2803","1","low","0","truck","11.14","1752074098718","1"
"334","1322","5","average","1","car","12.79","1752074098718","1"
"593","2937","11","high","1","car","15.08","1752074098718","1"
"177","577","4","average","0","car","12.17","1752074098718","1"
"2848","3883","2","low","0","truck","12.15","1752074098718","1"
"302","687","11","high","1","cycle","15.28","1752074098718","1"
"830","1322","6","average","0","cycle","13.27","1752074098718","1"
"383","1322","2","low","0","truck","11.78","1752074098718","1"
"263","687","2","low","0","car","11.57","1752074098718","1"
"320","387","4","average","1","car","12.86","1752074098718","1"
"131","577","2","low","0","car","11.44","1752074098718","1"
"3300","3883","7","average","0","car","13.87","1752074098718","1"
"310","387","5","average","0","car","13.0","1752074098718","1"
"365","387","3","low","0","car","12.45","1752074098718","1"
"1497","1920","9","high","0","car","14.48","1752074098718","1"
"1186","2009","3","low","0","bike","11.87","1752074098718","1"
"1348","1920","4","low","0","bike","12.38","1752074098718","1"
"337","485","2","low","0","car","11.83","1752074098718","1"
"183","470","6","high","0","car","12.91","1752074098718","1"
"1422","2937","9","high","0","car","14.24","1752074098718","1"
"537","3103","4","low","1","car","12.48","1752074098718","1"
"805","1200","9","high","0","car","14.39","1752074098718","1"
"548","2803","4","average","0","car","12.08","1752074098718","1"
"391","690","2","low","0","car","11.72","1752074098718","1"
"888","3103","4","average","0","truck","12.45","1752074098718","1"
"35","577","1","low","1","truck","11.43","1752074098718","1"
"133","577","4","average","0","bike","11.82","1752074098718","1"
"321","1200","10","high","1","car","14.72","1752074098718","1"
"951","3103","5","average","0","car","12.59","1752074098718","1"
"905","2937","13","high","1","car","16.01","1752074098718","1"
"997","3103","8","high","0","car","13.68","1752074098718","1"
"886","2937","3","low","0","car","11.92","1752074098718","1"
"822","1200","6","average","0","car","13.32","1752074098718","1"
"231","485","2","low","0","car","11.65","1752074098718","1"
"671","690","5","average","0","car","13.14","1752074098718","1"
"672","1322","2","average","0","car","11.51","1752074098718","1"
"652","2009","2","low","0","car","11.52","1752074098718","1"
"396","690","2","low","0","car","11.73","1752074098718","1"
"3387","3883","6","average","0","car","13.48","1752074098718","1"
"386","387","4","average","0","car","12.75","1752074098718","1"
"398","387","4","average","0","car","12.77","1752074098718","1"
"378","687","5","average","0","car","12.79","1752074098718","1"
"633","1322","5","average","0","car","12.73","1752074098718","1"
"141","470","4","average","0","car","12.17","1752074098718","1"
"1046","3103","3","low","0","bike","11.66","1752074098718","1"
"525","687","6","average","0","car","13.39","1752074098718","1"
"175","577","4","average","0","car","12.17","1752074098718","1"
"491","690","2","low","0","truck","12.13","1752074098718","1"
"1121","2937","3","low","0","cycle","11.98","1752074098718","1"
"1244","3103","8","high","0","bike","13.46","1752074098718","1"
"702","3103","8","average","1","car","14.02","1752074098718","1"
"358","1322","1","low","0","bike","10.77","1752074098718","1"
"822","1200","5","average","0","car","12.9","1752074098718","1"
"247","577","5","average","0","car","12.69","1752074098718","1"
"277","485","2","low","0","car","11.73","1752074098718","1"
"593","687","5","average","0","bike","12.76","1752074098718","1"
"433","687","8","high","0","car","13.94","1752074098718","1"
"451","2803","3","low","0","car","11.8","1752074098718","1"
"644","2009","2","low","0","car","11.52","1752074098718","1"
"420","2803","1","low","0","truck","11.25","1752074098718","1"
"738","1322","9","high","0","bike","14.01","1752074098718","1"
"258","690","3","average","0","truck","12.1","1752074098718","1"
"551","687","2","low","0","car","11.92","1752074098718","1"
"438","1322","3","average","0","car","11.78","1752074098718","1"
"1205","2009","4","low","1","cycle","12.83","1752074098718","1"
"545","690","4","average","0","car","12.57","1752074098718","1"
"337","485","5","average","0","bike","12.62","1752074098718","1"
"1020","2009","4","low","0","bike","12.21","1752074098718","1"
"170","577","2","low","0","car","11.5","1752074098718","1"
"3349","3883","9","average","1","bike","14.68","1752074098718","1"
"272","387","8","high","0","car","14.0","1752074098718","1"
"245","387","6","average","1","bike","13.24","1752074098718","1"
"612","1322","4","average","0","bike","12.01","1752074098718","1"
"82","690","1","low","0","car","10.93","1752074098718","1"
"547","2009","3","low","1","truck","12.44","1752074098718","1"
"1360","2009","7","average","1","car","13.98","1752074098718","1"
"461","687","8","high","0","bike","13.68","1752074098718","1"
"171","577","2","low","0","car","11.5","1752074098718","1"
"530","1920","11","high","1","car","15.15","1752074098718","1"
"608","3103","2","low","0","car","11.41","1752074098718","1"
"469","470","5","average","0","truck","13.46","1752074098718","1"
"97","690","1","low","0","car","10.95","1752074098718","1"
"393","470","4","average","0","car","12.61","1752074098718","1"
"98","577","6","average","1","car","13.14","1752074098718","1"
"1586","2009","3","low","0","cycle","12.32","1752074098718","1"
"769","3883","3","low","0","car","11.83","1752074098718","1"
"418","1322","3","average","0","car","11.76","1752074098718","1"
"1405","1920","8","high","0","bike","13.73","1752074098718","1"
"723","1200","6","average","0","bike","12.96","1752074098718","1"
"1278","2937","4","average","0","cycle","12.28","1752074098718","1"
"295","485","2","low","0","car","11.76","1752074098718","1"
"777","1322","3","low","0","truck","12.45","1752074098718","1"
"3377","3883","11","high","0","truck","15.68","1752074098718","1"
"836","1200","5","average","0","truck","13.21","1752074098718","1"
"2235","3883","7","average","0","car","13.65","1752074098718","1"
"1274","2937","10","high","0","truck","14.9","1752074098718","1"
"267","485","2","low","0","truck","12.0","1752074098718","1"
"1995","3883","13","high","1","car","16.18","1752074098718","1"
"282","577","2","low","0","cycle","11.66","1752074098718","1"
"240","690","7","high","0","car","13.29","1752074098718","1"
"343","387","5","high","0","bike","12.61","1752074098718","1"
"683","2937","6","average","1","truck","13.49","1752074098718","1"
"340","577","2","low","0","cycle","11.74","1752074098718","1"
"830","2009","2","low","0","car","11.59","1752074098718","1"
"717","1200","8","high","0","truck","14.21","1752074098718","1"
"1465","1920","5","average","0","car","12.97","1752074098718","1"
"1387","2009","5","average","0","car","12.91","1752074098718","1"
"3262","3883","10","high","0","bike","14.66","1752074098718","1"
"1228","2937","9","high","0","bike","13.89","1752074098718","1"
"587","690","3","low","0","cycle","12.38","1752074098718","1"
"323","485","4","average","0","car","12.47","1752074098718","1"
"660","2803","3","average","0","bike","11.4","1752074098718","1"
"3037","3883","3","low","0","truck","12.61","1752074098718","1"
"3362","3883","7","average","0","car","13.89","1752074098718","1"
"191","690","7","high","1","car","13.48","1752074098718","1"
"419","470","6","high","0","car","13.33","1752074098718","1"
"991","2009","2","low","0","bike","11.37","1752074098718","1"
"775","1322","8","high","0","car","13.91","1752074098718","1"
"577","690","4","average","0","bike","12.32","1752074098718","1"
"162","690","9","high","1","bike","13.99","1752074098718","1"
"459","470","8","high","0","car","14.23","1752074098718","1"
"760","2937","9","average","1","bike","14.17","1752074098718","1"
"1062","3103","5","average","0","car","12.62","1752074098718","1"
"519","3883","3","low","1","bike","11.74","1752074098718","1"
"315","485","1","low","0","car","11.37","1752074098718","1"
"248","485","2","low","0","car","11.68","1752074098718","1"
"1142","2009","8","high","0","truck","14.18","1752074098718","1"
"1460","1920","10","high","0","cycle","14.88","1752074098718","1"
"14","577","1","low","0","bike","10.56","1752074098718","1"
"1058","2009","2","low","0","truck","11.98","1752074098718","1"
"1110","3103","3","low","0","truck","12.26","1752074098718","1"
"87","577","4","low","1","car","12.46","1752074098718","1"
"531","690","3","average","0","car","12.14","1752074098718","1"
"379","687","4","high","0","car","12.21","1752074098718","1"
"266","485","6","average","1","car","13.46","1752074098718","1"
"392","2803","1","low","0","car","10.95","1752074098718","1"
"336","387","6","average","0","bike","13.18","1752074098718","1"
"1132","3103","8","high","0","car","13.72","1752074098718","1"
"80","577","2","low","0","car","11.37","1752074098718","1"
"1209","1920","2","low","0","car","11.77","1752074098718","1"
"782","1322","9","high","0","car","14.33","1752074098718","1"
"1184","2009","3","low","0","car","12.16","1752074098718","1"
"215","387","4","average","1","car","12.63","1752074098718","1"
